Devices
1000
,,Bertec Force Plate #1 - Force,,,Bertec Force Plate #1 - Moment,,,Bertec Force Plate #1 - CoP,,,Bertec Force Plate #2 - Force,,,Bertec Force Plate #2 - Moment,,,Bertec Force Plate #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
8,1,-30.6573,-26.7709,-240.546,42191.7,11241.9,-5272.43,196.735,23.6,0,19.3372,-1.97418,-234.545,33782,-2465.21,701.295,-160.511,55.9679,0
8,2,-30.047,-25.8554,-239.935,42374.8,10997.8,-4997.77,195.837,22.3907,0,18.4216,-2.27935,-235.766,34697.6,-2709.35,701.295,-161.492,52.8305,0
8,3,-31.5729,-25.8554,-242.377,41459.3,10997.8,-4814.67,195.375,27.9469,0,17.8113,-2.58453,-236.987,34880.7,-2465.21,426.637,-160.402,52.8159,0
8,4,-29.7418,-27.3813,-238.104,42191.7,10875.7,-5180.88,195.676,21.8015,0,19.032,-3.50006,-234.545,34331.4,-2587.28,701.295,-161.031,53.6259,0
8,5,-31.2677,-24.9399,-238.715,42741,10997.8,-5272.43,196.071,19.9534,0,18.1165,-1.97418,-237.597,33232.7,-2587.28,701.295,-160.889,60.1299,0
8,6,-30.9625,-25.5502,-242.987,42741,11119.9,-5180.88,195.763,23.1016,0,18.4216,-1.05865,-238.818,35796.2,-2953.49,701.295,-162.367,50.1108,0
8,7,-30.3522,-23.1088,-241.766,42741,11119.9,-5180.88,195.994,22.2135,0,19.3372,-1.05865,-240.649,34514.5,-2587.28,609.742,-160.751,56.5774,0
8,8,-31.8781,-25.2451,-241.156,42924.1,10509.5,-5272.43,193.58,21.0068,0,17.2009,-0.753475,-240.038,35246.9,-2953.49,426.637,-162.304,53.1615,0
8,9,-29.7418,-24.6347,-247.26,42924.1,11364,-5272.43,195.96,25.4005,0,17.8113,-1.36383,-240.649,34331.4,-3075.56,518.19,-162.78,57.3383,0
9,0,-28.8263,-22.1933,-245.428,42924.1,11852.3,-5180.88,198.292,24.1053,0,17.2009,-1.669,-241.87,35796.2,-2709.35,335.084,-161.202,52.002,0
9,1,-30.3522,-20.9726,-244.818,42741,11119.9,-5272.43,195.421,24.4172,0,16.8957,-0.753475,-243.09,37444.2,-2831.42,335.084,-161.648,45.966,0
9,2,-31.2677,-21.8881,-245.428,42924.1,11364,-4997.77,196.303,24.1053,0,17.2009,1.07758,-244.921,35796.2,-2953.49,609.742,-162.059,53.8461,0
9,3,-30.3522,-22.4985,-244.208,43839.7,10875.7,-5363.98,194.535,19.4821,0,16.5906,-1.05865,-245.532,36528.6,-2953.49,335.084,-162.029,51.2264,0
9,4,-30.047,-24.0244,-245.428,43656.6,11119.9,-5272.43,195.308,21.1211,0,15.9802,-0.753475,-247.363,35246.9,-3197.63,609.742,-162.927,57.5093,0
9,5,-29.4366,-22.4985,-253.363,42924.1,10875.7,-5089.33,192.925,29.5825,0,16.8957,-0.753475,-251.025,35979.3,-2953.49,426.637,-161.766,56.6703,0
9,6,-28.2159,-20.0571,-249.701,43656.6,11486.1,-5089.33,195.999,24.1646,0,16.8957,0.162052,-247.973,36162.4,-2831.42,609.742,-161.418,54.1679,0
9,7,-29.4366,-22.8036,-253.363,44022.8,11364,-5363.98,194.853,25.2463,0,16.2854,-1.05865,-251.025,36162.4,-3319.7,426.637,-163.225,55.9408,0
9,8,-28.2159,-20.0571,-255.194,43656.6,11852.3,-4997.77,196.444,27.928,0,16.8957,-1.669,-252.245,36345.5,-3319.7,243.531,-163.161,55.9121,0
9,9,-28.2159,-20.6674,-253.973,44022.8,11486.1,-4906.22,195.226,25.6639,0,15.9802,-0.753475,-254.077,36345.5,-3441.77,243.531,-163.546,56.9505,0
10,0,-26.9952,-19.4467,-253.363,43656.6,12340.6,-5089.33,198.707,26.6917,0,15.9802,-1.05865,-254.687,37810.4,-3441.77,335.084,-163.514,51.5418,0
10,1,-28.8263,-19.1415,-253.973,44205.9,12096.4,-5089.33,197.629,24.9429,0,16.2854,0.162052,-255.908,37627.3,-3319.7,518.19,-162.972,52.9654,0
10,2,-26.3849,-20.0571,-258.246,44389,11364,-4906.22,194.005,27.1135,0,15.675,-1.05865,-255.908,37261,-3563.84,335.084,-163.926,54.3965,0
10,3,-26.9952,-18.5312,-256.415,44389,12218.5,-4997.77,197.651,25.8861,0,15.3699,-1.669,-256.518,37627.3,-3441.77,243.531,-163.417,53.3153,0
10,4,-26.3849,-16.395,-264.349,43839.7,11974.4,-4814.67,195.298,33.1602,0,15.9802,-2.27935,-257.128,37627.3,-3807.98,426.637,-164.81,53.6635,0
10,5,-26.0797,-17.9208,-264.349,44205.9,11974.4,-4906.22,195.298,31.7748,0,14.7595,-3.50006,-257.739,36345.5,-3441.77,426.637,-163.354,58.983,0
10,6,-23.9435,-17.0053,-261.298,44389,12218.5,-4906.22,196.761,29.121,0,15.9802,-3.80523,-257.128,37993.5,-2831.42,243.531,-161.012,52.2393,0
10,7,-24.859,-18.8364,-266.791,44389,11608.2,-4814.67,193.51,32.6188,0,15.9802,-2.58453,-257.128,38542.8,-3563.84,335.084,-163.86,50.1029,0
10,8,-25.4694,-15.4794,-263.129,44389,12462.6,-4723.11,197.363,30.3031,0,15.675,-4.41558,-257.128,37444.2,-3441.77,335.084,-163.385,54.3756,0
10,9,-23.028,-18.8364,-261.298,44938.3,12096.4,-4540.01,196.294,27.0187,0,15.675,-5.02594,-257.128,37627.3,-3441.77,426.637,-163.385,53.6635,0
