Devices
1000
,,Imported Bertec Force Plate #1 - Force,,,Imported Bertec Force Plate #1 - Moment,,,Imported Bertec Force Plate #1 - CoP,,,Imported Bertec Force Plate #2 - Force,,,Imported Bertec Force Plate #2 - Moment,,,Imported Bertec Force Plate #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
5,2,-32.1832,-2.66205,-352.85,52628.7,13317.1,-3258.27,187.742,49.8469,0,23.9148,-0.4483,-322.436,49712.2,-8690.79,1067.51,-176.954,45.823,0
5,3,-31.5729,-4.4931,-359.564,52262.5,13439.2,-3716.03,187.376,53.6504,0,23.9148,-0.4483,-323.657,49895.3,-8568.72,1067.51,-176.475,45.8387,0
5,4,-29.1315,-0.830991,-358.344,52262.5,14049.6,-3349.82,189.207,53.1553,0,24.5251,-0.143124,-321.215,52275.7,-8812.87,1433.72,-177.436,37.2565,0
5,5,-30.3522,-2.66205,-353.461,52628.7,13561.3,-3441.38,188.367,50.1045,0,23.6096,0.467228,-322.436,51909.5,-8568.72,1067.51,-176.575,39.0084,0
5,6,-30.9625,-2.66205,-354.071,52811.8,13439.2,-3532.93,187.956,49.844,0,24.5251,0.467228,-323.046,50078.4,-8690.79,1067.51,-176.903,44.9806,0
5,7,-31.2677,-3.88275,-357.123,52994.9,13927.5,-3441.38,188.999,50.6059,0,24.22,1.38276,-323.046,50994,-8202.51,1159.06,-175.391,42.1466,0
5,8,-31.8781,-2.66205,-355.902,52811.8,13927.5,-3624.48,189.133,50.6114,0,23.3044,0.162052,-323.046,49346,-8568.72,1067.51,-176.525,47.2478,0
5,9,-32.4884,-4.18792,-356.512,52445.6,13317.1,-3532.93,187.354,51.8926,0,23.9148,-0.4483,-321.826,50627.8,-8568.72,1159.06,-176.625,42.6857,0
6,0,-30.9625,-2.96722,-360.175,52811.8,13805.4,-3624.48,188.33,52.3716,0,24.22,0.772404,-325.488,50810.9,-8568.72,1250.61,-176.326,43.8931,0
6,1,-32.1832,-4.18792,-359.564,53361.1,13439.2,-3624.48,187.376,50.595,0,24.5251,0.467228,-324.267,50078.4,-8690.79,1433.72,-176.801,45.5642,0
6,2,-31.5729,-3.57757,-357.733,52994.9,13561.3,-3624.48,187.909,50.859,0,23.9148,0.467228,-323.657,49895.3,-8446.65,1067.51,-176.098,45.8387,0
6,3,-30.047,-2.96722,-364.447,53727.4,13195.1,-3349.82,186.206,51.5784,0,22.9993,0.467228,-323.046,51177.1,-7592.16,975.953,-173.502,41.5798,0
6,4,-33.0988,-3.88275,-360.785,52994.9,13561.3,-3990.69,187.588,52.1121,0,23.3044,1.68793,-322.436,50444.6,-8568.72,1159.06,-176.575,43.5514,0
6,5,-31.2677,-3.88275,-354.681,53361.1,13317.1,-3349.82,187.547,48.5519,0,24.22,1.07758,-321.826,50078.4,-8568.72,1250.61,-176.625,44.3926,0
6,6,-31.2677,-3.88275,-354.681,52445.6,13561.3,-3532.93,188.235,51.1332,0,23.6096,0.162052,-319.995,50994,-8568.72,1250.61,-176.778,40.6411,0
6,7,-30.9625,-1.74652,-358.954,52994.9,13073,-3441.38,186.42,51.3628,0,24.8303,0.467228,-322.436,51177.1,-7958.37,1250.61,-174.682,41.2799,0
6,8,-31.8781,-4.79828,-358.344,53727.4,13927.5,-3532.93,188.866,49.0675,0,23.9148,0.162052,-324.267,51360.2,-8568.72,1342.16,-176.425,41.6115,0
6,9,-31.8781,-4.18792,-355.902,53544.2,13805.4,-3532.93,188.79,48.5534,0,23.9148,-0.143124,-323.046,50444.6,-8446.65,1159.06,-176.147,43.847,0
7,0,-30.6573,-5.7138,-358.344,53361.1,13561.3,-3441.38,187.844,50.0894,0,24.5251,0.162052,-324.267,50261.5,-8446.65,1342.16,-176.048,44.9995,0
7,1,-31.8781,-4.18792,-360.785,53727.4,13561.3,-3532.93,187.588,50.082,0,24.8303,-0.4483,-324.877,50810.9,-8568.72,1159.06,-176.375,43.5999,0
7,2,-32.4884,-4.4931,-360.175,53910.5,13683.4,-3624.48,187.991,49.3213,0,24.8303,1.68793,-323.046,49712.2,-8202.51,1250.61,-175.391,46.1142,0
7,3,-32.4884,-4.4931,-354.681,54093.6,13683.4,-3532.93,188.579,46.4869,0,24.5251,-0.4483,-324.267,50810.9,-8690.79,1250.61,-176.801,43.3055,0
7,4,-30.6573,-4.18792,-357.733,53544.2,14049.6,-3716.03,189.274,49.3235,0,23.6096,-0.4483,-322.436,49712.2,-8568.72,884.401,-176.575,45.823,0
7,5,-31.8781,-4.18792,-357.123,54276.7,13927.5,-3441.38,188.999,47.0168,0,24.5251,0.467228,-323.046,50810.9,-8690.79,1250.61,-176.903,42.7134,0
7,6,-30.3522,-5.10345,-357.733,53910.5,14049.6,-3716.03,189.274,48.2998,0,25.4407,1.68793,-324.877,50261.5,-8446.65,1067.51,-176,45.2907,0
7,7,-30.9625,-3.57757,-355.902,53910.5,13927.5,-3532.93,189.133,47.5245,0,24.22,1.07758,-322.436,50444.6,-8690.79,1250.61,-176.954,43.5514,0
7,8,-31.2677,-3.88275,-357.733,53910.5,13683.4,-3532.93,188.25,48.2998,0,23.3044,0.162052,-323.046,51360.2,-8568.72,1159.06,-176.525,41.013,0
7,9,-31.2677,-3.88275,-355.902,53544.2,14049.6,-3624.48,189.476,48.5534,0,25.7458,-0.753475,-323.657,50810.9,-8690.79,1342.16,-176.852,43.01,0
8,0,-31.2677,-3.88275,-356.512,53544.2,13805.4,-3532.93,188.724,48.811,0,26.051,-0.143124,-324.877,51177.1,-8324.58,1067.51,-175.624,42.4726,0
8,1,-31.2677,-6.62933,-356.512,53910.5,14049.6,-3624.48,189.408,47.7838,0,24.8303,0.467228,-324.267,51177.1,-8446.65,1342.16,-176.048,42.1761,0
8,2,-30.3522,-4.79828,-355.292,54276.7,14049.6,-3441.38,189.544,46.2335,0,24.5251,0.467228,-324.267,50994,-8446.65,1250.61,-176.048,42.7408,0
8,3,-31.8781,-5.40863,-360.175,53910.5,13927.5,-3349.82,188.669,49.3213,0,24.5251,-1.36383,-321.826,51909.5,-8446.65,1067.51,-176.246,38.703,0
8,4,-32.7936,-6.32416,-355.902,54642.9,13317.1,-3441.38,187.418,45.4665,0,24.8303,-1.05865,-324.877,50810.9,-8446.65,1525.27,-176,43.5999,0
8,5,-31.5729,-5.7138,-354.681,53910.5,14293.7,-3532.93,190.3,47.0031,0,23.9148,-0.4483,-324.267,50444.6,-8690.79,1250.61,-176.801,44.4348,0
8,6,-29.7418,-6.01898,-352.24,54276.7,14049.6,-3716.03,189.886,44.91,0,25.1355,0.162052,-322.436,51543.3,-8690.79,1342.16,-176.954,40.1441,0
8,7,-30.9625,-5.40863,-355.292,55009.1,14293.7,-3532.93,190.231,44.172,0,25.1355,-1.05865,-323.046,51909.5,-8690.79,1159.06,-176.903,39.3125,0
8,8,-30.9625,-8.15521,-355.292,55009.1,13805.4,-3716.03,188.857,44.172,0,24.8303,-0.753475,-324.267,50994,-8934.94,1433.72,-177.554,42.7408,0
8,9,-31.5729,-4.4931,-355.902,54642.9,14293.7,-3532.93,190.162,45.4665,0,24.22,-1.669,-323.657,52275.7,-8446.65,1159.06,-176.098,38.4841,0
9,0,-30.6573,-6.93451,-356.512,54276.7,13683.4,-3532.93,188.381,46.7566,0,25.7458,0.162052,-322.436,51360.2,-8324.58,1342.16,-175.818,40.712,0
9,1,-32.4884,-6.32416,-353.461,54276.7,13683.4,-3624.48,188.713,45.4421,0,23.9148,-0.143124,-323.657,50994,-8690.79,1433.72,-176.852,42.4443,0
9,2,-32.7936,-5.10345,-356.512,54826,13805.4,-3624.48,188.724,45.2158,0,25.7458,-1.36383,-324.267,50444.6,-8446.65,1342.16,-176.048,44.4348,0
9,3,-31.5729,-5.40863,-354.071,54642.9,14171.6,-3532.93,190.025,44.6726,0,23.9148,-1.05865,-323.657,49895.3,-8446.65,1342.16,-176.098,45.8387,0
9,4,-30.6573,-5.7138,-356.512,54642.9,13805.4,-3532.93,188.724,45.7294,0,25.1355,-1.05865,-321.215,51543.3,-8568.72,1433.72,-176.676,39.5366,0
9,5,-32.7936,-5.40863,-357.123,55375.3,14293.7,-3807.59,190.025,43.9404,0,25.7458,-0.143124,-322.436,51360.2,-8568.72,1250.61,-176.575,40.712,0
9,6,-29.4366,-6.32416,-357.123,54459.8,14171.6,-3807.59,189.683,46.5041,0,25.1355,-1.05865,-321.826,50810.9,-8690.79,1433.72,-177.005,42.1168,0
9,7,-29.4366,-7.54486,-352.24,55009.1,14415.8,-3716.03,190.926,42.8306,0,24.5251,-0.4483,-324.267,50261.5,-8690.79,1708.38,-176.801,44.9995,0
9,8,-30.6573,-6.62933,-352.85,55375.3,14171.6,-3624.48,190.163,42.0629,0,24.8303,-1.669,-322.436,50627.8,-8690.79,1708.38,-176.954,42.9835,0
9,9,-31.5729,-8.15521,-356.512,55009.1,14537.8,-3624.48,190.778,44.7022,0,24.22,-1.05865,-325.488,51543.3,-8690.79,1433.72,-176.701,41.6429,0
10,0,-30.3522,-7.85003,-357.123,55375.3,13927.5,-3624.48,188.999,43.9404,0,25.7458,-1.05865,-321.826,51543.3,-8690.79,1433.72,-177.005,39.8409,0
10,1,-32.7936,-9.07074,-355.902,55192.2,13927.5,-3716.03,189.133,43.9231,0,24.22,-1.36383,-323.657,50810.9,-8690.79,1616.82,-176.852,43.01,0
10,2,-30.6573,-6.32416,-354.071,55924.6,14537.8,-3990.69,191.059,41.0526,0,24.8303,-1.05865,-323.046,50994,-8934.94,1616.82,-177.658,42.1466,0
10,3,-31.2677,-6.93451,-351.63,55192.2,14904.1,-3716.03,192.386,42.0388,0,23.6096,-1.05865,-324.267,49712.2,-8568.72,1433.72,-176.425,46.6935,0
10,4,-31.8781,-8.76556,-355.292,55375.3,14537.8,-3624.48,190.918,43.1413,0,24.22,-1.05865,-324.267,50810.9,-8690.79,1342.16,-176.801,43.3055,0
10,5,-31.5729,-6.32416,-362.006,56473.9,14171.6,-3441.38,189.148,42.9971,0,26.6614,-1.05865,-323.046,51543.3,-8690.79,1433.72,-176.903,40.4462,0
10,6,-30.3522,-7.23968,-357.733,55741.5,14171.6,-3899.14,189.615,43.1813,0,25.7458,-1.05865,-325.488,51726.4,-8934.94,1433.72,-177.451,41.0804,0
10,7,-30.6573,-8.46039,-354.681,56290.8,14171.6,-3716.03,189.956,40.2918,0,25.4407,-1.669,-326.098,50078.4,-8568.72,1433.72,-176.277,46.4314,0
10,8,-29.4366,-8.76556,-354.681,55741.5,15026.1,-3899.14,192.365,41.8406,0,25.1355,-1.05865,-323.657,51726.4,-8324.58,1342.16,-175.72,40.1813,0
10,9,-28.2159,-7.54486,-357.123,56473.9,14293.7,-3807.59,190.025,40.8641,0,25.4407,-1.97418,-323.657,51909.5,-8690.79,1433.72,-176.852,39.6156,0
11,0,-30.9625,-5.7138,-354.071,56107.7,14049.6,-3990.69,189.68,40.5354,0,25.4407,0.162052,-324.877,51726.4,-8690.79,1250.61,-176.751,40.7818,0
11,1,-30.6573,-5.10345,-357.733,56107.7,14293.7,-4082.25,189.956,42.1576,0,27.2717,-0.143124,-326.708,50444.6,-8446.65,1342.16,-175.854,45.5973,0
11,2,-31.2677,-9.07074,-355.292,56657,14659.9,-3899.14,191.262,39.5338,0,25.1355,-0.753475,-325.488,51909.5,-8568.72,1616.82,-176.326,40.5178,0
11,3,-31.2677,-5.7138,-357.733,56107.7,14293.7,-3990.69,189.956,42.1576,0,25.4407,-0.4483,-327.319,51543.3,-8690.79,1433.72,-176.551,42.5288,0
11,4,-31.5729,-6.93451,-352.85,57206.4,14293.7,-3899.14,190.509,36.8736,0,25.4407,-0.753475,-324.877,50627.8,-8812.87,1616.82,-177.127,44.1635,0
11,5,-30.6573,-8.76556,-352.85,56840.1,14415.8,-3807.59,190.855,37.9115,0,26.051,0.467228,-323.657,52275.7,-8690.79,1525.27,-176.852,38.4841,0
11,6,-30.9625,-5.40863,-354.681,57023.3,14415.8,-3807.59,190.644,38.2268,0,24.22,-1.36383,-325.488,51360.2,-8690.79,1525.27,-176.701,42.2055,0
11,7,-30.6573,-8.15521,-351.63,57389.5,14782,-3807.59,192.039,35.79,0,27.2717,-1.05865,-324.877,51177.1,-8690.79,1616.82,-176.751,42.4726,0
11,8,-31.2677,-7.23968,-355.292,56107.7,14415.8,-3899.14,190.574,41.0799,0,24.5251,-0.4483,-325.488,52275.7,-8568.72,1616.82,-176.326,39.3927,0
11,9,-30.9625,-9.98626,-360.175,56840.1,14415.8,-3624.48,190.024,41.1872,0,25.7458,-0.753475,-324.267,51543.3,-8568.72,1433.72,-176.425,41.0468,0
12,0,-31.2677,-9.37591,-359.564,58305,14293.7,-4173.8,189.753,36.8454,0,25.1355,0.467228,-326.098,51909.5,-8812.87,1342.16,-177.025,40.8163,0
12,1,-32.1832,-9.07074,-355.902,57389.5,14171.6,-3716.03,189.819,37.7493,0,25.4407,-0.753475,-324.877,50627.8,-8812.87,1616.82,-177.127,44.1635,0
12,2,-30.9625,-9.98626,-351.019,57389.5,14293.7,-4082.25,190.721,35.5062,0,25.4407,-1.97418,-326.098,50627.8,-8568.72,1616.82,-176.277,44.7468,0
12,3,-31.8781,-8.76556,-352.24,57206.4,14782,-3624.48,191.966,36.5927,0,24.5251,-1.05865,-325.488,54106.8,-8568.72,1342.16,-176.326,33.7671,0
12,4,-30.9625,-8.46039,-357.733,57206.4,14782,-3990.69,191.321,39.0865,0,26.051,-0.4483,-325.488,51360.2,-8568.72,1616.82,-176.326,42.2055,0
12,5,-30.3522,-7.85003,-357.123,57572.6,14415.8,-3990.69,190.366,37.7878,0,25.4407,-1.36383,-326.098,52275.7,-8568.72,1616.82,-176.277,39.6933,0
12,6,-31.5729,-8.15521,-357.123,57572.6,14659.9,-3807.59,191.05,37.7878,0,25.7458,-1.05865,-324.877,51726.4,-8690.79,1525.27,-176.751,40.7818,0
12,7,-30.047,-8.15521,-354.681,57572.6,15148.2,-3899.14,192.709,36.6781,0,25.4407,-0.753475,-324.267,52458.8,-9057.01,1525.27,-177.931,38.2234,0
12,8,-30.3522,-8.15521,-357.733,57389.5,14537.8,-4082.25,190.639,38.5746,0,25.1355,-0.143124,-326.708,52458.8,-8690.79,1616.82,-176.601,39.4323,0
12,9,-28.5211,-10.5966,-355.902,58121.9,14782,-3990.69,191.534,35.6914,0,25.1355,-2.58453,-324.877,52641.9,-8934.94,1616.82,-177.503,37.9637,0
13,0,-31.2677,-9.07074,-365.057,58121.9,14537.8,-3990.69,189.823,39.787,0,24.22,0.467228,-326.708,52092.6,-8690.79,1708.38,-176.601,40.5532,0
13,1,-29.1315,-8.46039,-355.292,57938.8,14537.8,-3990.69,190.918,35.9262,0,25.7458,-2.58453,-326.708,53374.3,-8690.79,1616.82,-176.601,36.6301,0
